city,property_name,location,builder,price_lakhs,BHK,property_type
Hyderabad,Vaidehi Nivas Golden Palms,"3 BHK Flat in Vidya nagar, Adikmet, Hyderabad",Unknown,258.0,4.0,Apartment
Hyderabad,Aspirealty Avatar,"Residential land / Plot in Srisailam Highway, Hyderabad",Unknown,60.7,2.0,Apartment
Hyderabad,Ramky One Symphony,"3 BHK Flat in Patancheru, Hyderabad",Unknown,86.1,3.0,Apartment
Hyderabad,"Moinabad, Hyderabad","4 Bedroom Farm house in Moinabad, Hyderabad",Unknown,110.00000000000001,2.0,Apartment
Hyderabad,Jayabheri Orange County,"4 BHK Flat in Nanakramguda, Hyderabad",Unknown,229.99999999999997,3.0,Apartment
Hyderabad,Shree Laxmi Nagar Colony,"3 Bedroom House in Sayeedabad Colony, Saidabad, Hyderabad",Unknown,88.08,2.0,Apartment
Hyderabad,Aditya Empress Towers,"3 BHK Flat in Shaikpet, Hyderabad",Unknown,120.0,3.0,Apartment
Hyderabad,"Sri Colony, sainikpuri","3 BHK Flat in Defence Colony, Langer House, Hyderabad",Gamut India Projects,66.12,2.0,Apartment
Hyderabad,close to Yadadri gutta temple,"Residential land / Plot in Warangal highway, Hyderabad",Saanvi Constructions,86.07,3.0,Apartment
Hyderabad,Aparna kanopy yellow bells,"3 BHK Flat in Gundlapochampalli, Hyderabad",Maphar Constructions,265.0,4.0,Villa
Hyderabad,Greater Infra Global City 2,"Residential land / Plot in Nandigama, Hyderabad",Lalita Constructions,172.0,3.0,Apartment
Hyderabad,Narne East City,"Residential land / Plot in Bibinagar, Hyderabad",Vision Infra Hyderabad,241.0,4.0,Apartment
Hyderabad,"Yeliminedu, Hyderabad","Residential land / Plot in Yeliminedu, Hyderabad",Advaita Properties,60.0,2.0,Apartment
Hyderabad,Aziz Residency,"3 BHK Flat in Sayeedabad Colony, Saidabad, Hyderabad",Elite Constructions Telangana,107.0,2.0,Apartment
Hyderabad,"Shad nagar, Hyderabad","Residential land / Plot in Shad nagar, Hyderabad",Raja Developers And Builders,208.0,3.0,Apartment
Hyderabad,H.No. 114 HIG - II,"3 Bedroom House in Raviryal, Hyderabad",DSR Infra Projects Bangalore,124.0,3.0,Apartment
Hyderabad,Aparna Cyber Life,"3 BHK Flat in Nallagandla, Hyderabad",Unknown,,1.0,Apartment
Hyderabad,Kakateeya Hills,"4 BHK Independent Builder Floor in Madhapur, Hyderabad",Unknown,172.0,3.0,Apartment
